word	idf	rf_importance	lr_importance
remdesivir	9.2698	0.0017	-0.4248
nitrated	9.2698	0.0017	-0.4248
world	6.0711	0.0017	-0.3975
dantrole	9.2698	0.0017	-0.4248
opposite	9.2698	0.0017	-0.4248
surgery	7.1903	0.0017	-0.3919
matching	9.2698	0.0017	-0.4341
cultural	8.3535	0.0017	-0.4021
incidence	6.2993	0.0017	-0.3376
rtn2	9.2698	0.0017	-0.4269
str	8.5766	0.0017	-0.3073
explicitly	9.2698	0.0017	-0.4248
recurrence	9.2698	0.0017	-0.4605
seq	8.017	0.0017	-0.2648
patients	7.3238	0.0017	-0.4088
associ	7.7657	0.0017	-0.3857
bedroc	9.2698	0.0017	-0.4248
pragmatic	8.5766	0.0017	-0.4079
bi	7.8835	0.0017	-0.3482
orthographic	9.2698	0.0017	-0.4248
biobehavioral	9.2698	0.0017	-0.4506
geographical	8.8643	0.0017	-0.4947
preoperat	9.2698	0.0017	-0.4248
expressive	9.2698	0.0017	-0.4508
upper	8.8643	0.0016	-0.4641
class	8.5766	0.0016	-0.4615
semantic	8.017	0.0016	-0.1545
voca	8.8643	0.0016	-0.4151
demog	9.2698	0.0016	-0.4654
capac	8.8643	0.0016	-0.4151
prevention	8.5766	0.0016	-0.4248
complications	7.565	0.0016	-0.3798
recognizing	8.8643	0.0016	-0.4372
anxie	9.2698	0.0016	-0.4409
issues	8.8643	0.0016	-0.4151
oxygena	9.2698	0.0016	-0.4248
withdrawal	9.2698	0.0016	-0.4462
attenuating	9.2698	0.0016	-0.4248
good	8.017	0.0016	-0.3929
empirical	8.5766	0.0016	-0.4913
life	7.398	0.0016	-0.4789
generati	9.2698	0.0016	-0.4559
methodology	8.8643	0.0016	-0.4159
analog	9.2698	0.0016	-0.4248
structu	8.5766	0.0016	-0.3274
stat	9.2698	0.0016	-0.4444
extend	9.2698	0.0016	-0.4543
commo	9.2698	0.0016	-0.4605
thromboemboli	8.3535	0.0016	-0.4369
tests	9.2698	0.0016	-0.4248
utilization	6.352	0.0016	-0.5226
mortality	6.8719	0.0016	-0.368
communication	9.2698	0.0016	-0.4341
infantile	9.2698	0.0016	-0.4248
history	8.3535	0.0016	-0.0862
implica	9.2698	0.0016	-0.4705
allocation	7.1297	0.0016	-0.5355
reo	9.2698	0.0016	-0.372
metformin	9.2698	0.0016	-0.4901
