word	idf	rf_importance	lr_importance
eugenes	9.2698	0.0	0.1596
standardized	7.6603	0.0	0.5931
derivation	9.2698	0.0	0.1596
nomenclat	8.017	0.0	0.1514
bio	8.017	0.0	0.3138
ndex	8.3535	0.0	0.1184
inform	7.8835	0.0	0.421
ligand	8.8643	0.0	0.2429
biol	8.5766	0.0	0.3388
target	8.5766	0.0	0.1459
edam	9.2698	0.0	0.1903
physiome	8.8643	0.0	0.2529
rhea	8.1711	0.0	0.5585
compilation	8.8643	0.0	0.1667
proble	9.2698	0.0	0.1596
hla	7.565	0.0	0.3286
mobilizing	9.2698	0.0	0.1585
mailing	9.2698	0.0	0.1596
eupathdb	8.8643	0.0	0.1527
informati	8.1711	0.0	0.429
onlin	9.2698	0.0	0.1596
arachnoserver	8.8643	0.0	0.3967
provides	9.2698	0.0	0.1631
biomagresbank	8.8643	0.0	0.3483
flowrepository	9.2698	0.0	0.2257
domains	9.2698	0.0	0.147
dictybase	8.5766	0.0	0.2969
subtiwiki	9.2698	0.0	0.2257
quadruplexes	9.2698	0.0	0.1596
bioassay	8.1711	0.0	0.3715
support	8.1711	0.0	0.153
planteome	8.3535	0.0	0.4142
card	8.5766	0.0	0.2871
curat	8.1711	0.0	0.3727
fission	8.8643	0.0	0.229
annotating	8.3535	0.0	0.355
2015	8.017	0.0	0.3938
zoomin	9.2698	0.0	0.131
imgt	7.565	0.0	0.4221
anatomical	8.1711	0.0	0.4348
wikidata	8.3535	0.0	0.5399
psi	8.8643	0.0	0.2523
repositor	9.2698	0.0	0.1596
bacteri	8.5766	0.0	0.3466
modeldb	8.5766	0.0	0.2491
po	7.8835	0.0	0.248
comprehens	7.7657	0.0	0.1449
microscope	9.2698	0.0	0.1793
lettucegdb	9.2698	0.0	0.1576
manually	7.398	0.0	0.3595
2016	7.7657	0.0	0.3494
orthodb	8.5766	0.0	0.3451
int	7.478	0.0	0.335
mirex	8.8643	0.0	0.3188
comm	8.5766	0.0	0.259
diana	8.8643	0.0	0.222
tools	8.1711	0.0	0.4018
statistical	8.5766	0.0	0.1533
mol2chemfig	9.2698	0.0	0.164
drosophila	8.5766	0.0	0.3879
phylomedb	8.3535	0.0	0.2694
referen	8.5766	0.0	0.1401
taking	8.8643	0.0	0.2925
specificit	9.2698	0.0	0.1596
sharkipedia	8.3535	0.0	0.381
arraymap	8.3535	0.0	0.2877
knowledg	8.5766	0.0	0.286
cmdb	9.2698	0.0	0.173
french	8.3535	0.0	0.1596
par	8.8643	0.0	0.1882
arabidopsis	9.2698	0.0	0.1657
maize	8.5766	0.0	0.3416
togoid	9.2698	0.0	0.1596
biogrid	8.1711	0.0	0.4411
antibody	8.5766	0.0	0.2773
knowled	8.3535	0.0	0.1516
cerebrotendinous	9.2698	0.0	0.1596
probonto	9.2698	0.0	0.1903
improving	7.0185	0.0	0.2593
interpro	8.3535	0.0	0.3763
phenot	8.3535	0.0	0.3768
malaria	8.3535	0.0	0.2747
topfind	8.5766	0.0	0.4138
taxonomy	8.3535	0.0	0.2508
merops	8.017	0.0	0.2701
fair	8.8643	0.0	0.1596
yeastract	8.3535	0.0	0.3517
vertebrate	8.1711	0.0	0.4049
european	8.017	0.0	0.3602
genomics	8.3535	0.0	0.2293
clari	8.8643	0.0	0.1882
ja	8.3535	0.0	0.1852
chemical	7.6603	0.0	0.3847
sh	9.2698	0.0	0.1552
standard	8.8643	0.0	0.1674
genecards	8.3535	0.0	0.4026
rapid	7.8835	0.0	0.1002
storing	8.8643	0.0	0.2805
systematics	9.2698	0.0	0.1719
registr	8.5766	0.0	0.29
package	9.2698	0.0	0.1631
commons	9.2698	0.0	0.1526
adequacy	9.2698	0.0	0.1596
base	7.8835	0.0	0.3276
linguistic	8.8643	0.0	0.1486
identif	8.1711	0.0	0.3846
struct	8.3535	0.0	0.3139
cytocon	9.2698	0.0	0.1596
sickle	8.3535	0.0	0.2932
triplet	9.2698	0.0	0.1596
integrativ	8.8643	0.0	0.156
reso	6.1787	0.0	0.1319
pathway	8.1711	0.0	0.3757
updated	7.565	0.0	0.2656
universal	8.5766	0.0	0.1485
framework	8.5766	0.0	0.2876
linkml	9.2698	0.0	0.1916
agricultural	8.8643	0.0	0.156
watch	9.2698	0.0	0.1481
upda	7.565	0.0	0.3947
pass	9.2698	0.0	0.1386
therapeutic	8.3535	0.0	0.1511
prints	8.5766	0.0	0.2187
com	7.3238	0.0	0.1991
represen	9.2698	0.0	0.1596
application	7.478	0.0	0.1792
2010	9.2698	0.0	0.1596
improved	7.7657	0.0	0.2403
chebi	8.3535	0.0	0.3504
targeted	8.3535	0.0	0.2875
disprot	8.1711	0.0	0.2778
2018	8.017	0.0	0.3345
comprehe	8.3535	0.0	0.2695
ncats	9.2698	0.0	0.1596
uniprot	9.2698	0.0	0.1631
pdbsum	8.5766	0.0	0.3651
stitch	8.3535	0.0	0.2897
pfsearchv3	9.2698	0.0	0.1631
bank	8.1711	0.0	0.1811
traj	9.2698	0.0	0.1031
progenetix	8.8643	0.0	0.2685
strategy	8.5766	0.0	0.2758
ste	9.2698	0.0	0.1529
pazar	8.8643	0.0	0.2441
metacyc	8.1711	0.0	0.1932
mimoto	9.2698	0.0	0.1631
aeo	9.2698	0.0	0.1903
mint	8.3535	0.0	0.3759
indicati	9.2698	0.0	0.1677
archdb	8.8643	0.0	0.2827
physics	8.8643	0.0	0.1882
drugbank	8.3535	0.0	0.2792
annotati	8.8643	0.0	0.2805
genom	8.5766	0.0	0.2841
clas	8.1711	0.0	0.2774
musargenedb	9.2698	0.0	0.1631
v8	8.8643	0.0	0.2064
big	8.017	0.0	0.3018
eco	7.7657	0.0	0.2665
bacdive	8.5766	0.0	0.3692
mimodb	8.8643	0.0	0.156
automated	7.6603	0.0	0.2356
glycome	8.8643	0.0	0.1524
planttfdb	8.8643	0.0	0.2925
physical	7.8835	0.0	0.2783
functi	8.5766	0.0	0.2472
version	8.017	0.0	0.2407
soil	7.7657	0.0	0.115
proteolytic	9.2698	0.0	0.1596
apd3	9.2698	0.0	0.1596
zfin	8.8643	0.0	0.2711
transporte	9.2698	0.0	0.1596
biosharing	9.2698	0.0	0.1719
geo	8.017	0.0	0.1892
xeno	8.8643	0.0	0.1882
molecule	8.5766	0.0	0.2758
normal	8.5766	0.0	0.1585
creation	8.1711	0.0	0.1232
line	8.1711	0.0	0.416
signaling	8.5766	0.0	0.2644
biosa	8.5766	0.0	0.1569
mirbase	8.1711	0.0	0.2654
grid	8.8643	0.0	0.156
miriam	8.8643	0.0	0.2388
bogdb	9.2698	0.0	0.1631
panther	8.8643	0.0	0.2723
abs	9.2698	0.0	0.1127
db	7.478	0.0	0.229
smpdb	8.8643	0.0	0.2399
horde	9.2698	0.0	0.1303
modelli	9.2698	0.0	0.1299
nextprot	8.1711	0.0	0.2885
large	7.3238	0.0	0.3129
projec	8.8643	0.0	0.1303
bioportal	8.8643	0.0	0.3042
horiz	9.2698	0.0	0.1596
internet	9.2698	0.0	0.1596
learn	8.5766	0.0	0.1596
hupo	8.8643	0.0	0.2453
alternativ	8.8643	0.0	0.156
quit	9.2698	0.0	0.1596
mo	7.3238	0.0	0.1967
site	8.017	0.0	0.2661
meta	7.8835	0.0	0.4016
univers	8.8643	0.0	0.156
cryptodb	9.2698	0.0	0.1596
compone	8.3535	0.0	0.2768
taxon	8.8643	0.0	0.1473
por	9.2698	0.0	0.1529
araport	9.2698	0.0	0.1596
wiki	8.5766	0.0	0.3476
share	9.2698	0.0	0.1596
databases	8.017	0.0	0.3424
interact	8.3535	0.0	0.3685
app	7.8835	0.0	0.2219
upd	8.3535	0.0	0.2533
providing	8.3535	0.0	0.277
beetlebase	9.2698	0.0	0.1596
task	8.017	0.0	0.1476
ab	8.5766	0.0	0.1596
decade	8.8643	0.0	0.2925
nifstd	8.8643	0.0	0.2805
tarbase	8.5766	0.0	0.3896
rmdisease	9.2698	0.0	0.1707
signor	8.8643	0.0	0.2535
viralzone	8.8643	0.0	0.1594
build	8.8643	0.0	0.2851
dicom	8.8643	0.0	0.2654
arabidopsi	9.2698	0.0	0.154
intact	8.5766	0.0	0.242
linking	8.017	0.0	0.1354
bioplanet	9.2698	0.0	0.1596
yeastmine	9.2698	0.0	0.1693
smar	8.8643	0.0	0.1152
image	8.017	0.0	0.2436
alfred	9.2698	0.0	0.1596
2019	8.1711	0.0	0.2721
internation	9.2698	0.0	0.1631
design	6.8719	0.0	0.1223
asap	8.8643	0.0	0.3494
year	7.1903	0.0	0.1871
collecting	9.2698	0.0	0.1596
geno	8.5766	0.0	0.1518
polbase	9.2698	0.0	0.1596
dbgap	9.2698	0.0	0.1101
mirnest	8.8643	0.0	0.2493
access	7.398	0.0	0.2342
small	7.8835	0.0	0.2038
samplin	9.2698	0.0	0.1205
nero	9.2698	0.0	0.1525
transporter	8.3535	0.0	0.2836
sts	8.8643	0.0	0.1596
microbial	7.565	0.0	0.1427
subtilist	9.2698	0.0	0.1631
bindingdb	8.8643	0.0	0.2371
protei	8.8643	0.0	0.2691
torsion	9.2698	0.0	0.1657
anatomics	9.2698	0.0	0.1596
quantita	8.5766	0.0	0.1569
probresist	9.2698	0.0	0.1333
pubchem	7.8835	0.0	0.3508
epd	8.8643	0.0	0.2882
classifica	8.5766	0.0	0.2758
ensemblcompara	9.2698	0.0	0.1631
prov	8.8643	0.0	0.1479
representat	8.8643	0.0	0.1882
vari	8.1711	0.0	0.1228
biomedical	8.8643	0.0	0.2965
findabilit	9.2698	0.0	0.1712
integr	8.1711	0.0	0.1492
map	8.5766	0.0	0.1533
bomiprot	9.2698	0.0	0.16
pathwa	8.5766	0.0	0.2655
laboratory	8.8643	0.0	0.1622
aclame	8.8643	0.0	0.2851
digitoxin	9.2698	0.0	0.1596
genenames	8.5766	0.0	0.2581
tissue	8.1711	0.0	0.2273
catalogu	8.8643	0.0	0.1541
reuse	8.5766	0.0	0.1474
clastr	9.2698	0.0	0.1596
spike	8.8643	0.0	0.2042
biomolecul	9.2698	0.0	0.1568
ontologie	8.5766	0.0	0.2693
tfclass	9.2698	0.0	0.1502
du	9.2698	0.0	0.1596
2006	8.8643	0.0	0.179
miro	9.2698	0.0	0.1596
cdd	8.8643	0.0	0.2527
port	9.2698	0.0	0.1596
updates	8.1711	0.0	0.3303
localization	9.2698	0.0	0.1596
semant	8.5766	0.0	0.2498
sou	8.8643	0.0	0.2371
continuing	9.2698	0.0	0.1617
integrati	8.3535	0.0	0.2744
biohealthbase	9.2698	0.0	0.1631
microrna	8.5766	0.0	0.1497
principles	9.2698	0.0	0.1596
ipd	8.5766	0.0	0.1966
conoserver	8.8643	0.0	0.2715
method	7.478	0.0	0.1216
extrac	8.8643	0.0	0.2635
const	9.2698	0.0	0.1596
infectious	8.5766	0.0	0.1596
library	8.8643	0.0	0.1511
agodb	9.2698	0.0	0.1719
pocketo	9.2698	0.0	0.1677
cita	9.2698	0.0	0.1164
comprehensive	6.7048	0.0	0.2376
modern	8.5766	0.0	0.14
hssp	8.8643	0.0	0.2042
peptidase	9.2698	0.0	0.1596
14	8.8643	0.0	0.1212
biomanufacturing	9.2698	0.0	0.1631
pathbase	9.2698	0.0	0.1596
da	6.7849	0.0	0.1983
barcode	9.2698	0.0	0.1596
univ	9.2698	0.0	0.1596
translating	8.8643	0.0	0.156
disea	8.5766	0.0	0.1596
cutdb	9.2698	0.0	0.1596
depict	9.2698	0.0	0.1554
smiles	8.5766	0.0	0.2911
25	8.8643	0.0	0.1052
th	6.9672	0.0	0.2257
document	8.5766	0.0	0.2842
chromothripsis	8.8643	0.0	0.1622
portals	8.8643	0.0	0.2355
catalytic	8.8643	0.0	0.2942
models	8.1711	0.0	0.241
emdatabank	8.8643	0.0	0.2633
dbrusp	9.2698	0.0	0.1677
olfactory	8.5766	0.0	0.1596
things	8.8643	0.0	0.1143
inchis	9.2698	0.0	0.1596
bind	8.5766	0.0	0.2762
macie	8.8643	0.0	0.2482
progress	8.3535	0.0	0.1429
extension	8.8643	0.0	0.1642
evolving	8.5766	0.0	0.147
roles	8.3535	0.0	0.1548
nucleotide	8.3535	0.0	0.1548
sequence	7.1297	0.0	0.1116
fairsharing	8.8643	0.0	0.1596
rnacentral	8.8643	0.0	0.3022
hmdb	8.1711	0.0	0.1892
finding	8.017	0.0	0.2275
dise	7.478	0.0	0.2625
cohesindb	9.2698	0.0	0.1693
cito	8.8643	0.0	0.1596
know	8.8643	0.0	0.2588
worl	9.2698	0.0	0.1529
modeling	7.7657	0.0	0.2487
genecentric	9.2698	0.0	0.123
exten	8.8643	0.0	0.156
systematic	7.3238	0.0	0.2273
family	7.8835	0.0	0.1195
radiology	9.2698	0.0	0.1596
virus	8.1711	0.0	0.1469
ye	8.8643	0.0	0.229
gigascie	9.2698	0.0	0.1529
code	8.8643	0.0	0.156
directly	9.2698	0.0	0.1596
resequencin	9.2698	0.0	0.1576
suite	9.2698	0.0	0.149
snovault	9.2698	0.0	0.1596
minimum	7.8835	0.0	0.2665
porifera	9.2698	0.0	0.1311
enco	9.2698	0.0	0.1631
milkybase	9.2698	0.0	0.1566
idomal	8.8643	0.0	0.1554
accessib	9.2698	0.0	0.1596
guide	8.017	0.0	0.2297
mirtarbase	7.8835	0.0	0.2175
referenc	8.8643	0.0	0.1542
astd	9.2698	0.0	0.1631
embl	8.8643	0.0	0.1642
eukaryote	9.2698	0.0	0.1596
infor	8.8643	0.0	0.156
multiv	9.2698	0.0	0.1596
biocompute	9.2698	0.0	0.1596
comprehensiv	7.6603	0.0	0.1438
consensus	7.8835	0.0	0.1487
knowle	8.8643	0.0	0.2494
classifi	9.2698	0.0	0.1386
birnl	8.8643	0.0	0.2805
quantum	8.5766	0.0	0.1405
2022	7.478	0.0	0.2343
mutational	9.2698	0.0	0.1596
nmrshiftdb	8.8643	0.0	0.2984
venoms	9.2698	0.0	0.1346
expansion	8.3535	0.0	0.1512
tair	8.5766	0.0	0.3862
explorato	9.2698	0.0	0.1596
entities	9.2698	0.0	0.1569
gudmap	8.8643	0.0	0.156
perspectives	8.8643	0.0	0.156
twentieth	9.2698	0.0	0.1534
yeast	8.3535	0.0	0.2008
iceo	8.8643	0.0	0.1622
computationa	9.2698	0.0	0.1596
sign	8.5766	0.0	0.1498
phenominer	8.8643	0.0	0.1622
lipid	8.3535	0.0	0.2411
lexicon	9.2698	0.0	0.1596
descrip	8.8643	0.0	0.2582
ontol	8.017	0.0	0.2017
trans	8.5766	0.0	0.1533
sour	8.8643	0.0	0.2191
dgpd	9.2698	0.0	0.1334
asrp	8.8643	0.0	0.2721
sample	8.8643	0.0	0.1332
metada	9.2698	0.0	0.1596
localizing	9.2698	0.0	0.1596
common	7.7657	0.0	0.1169
zooming	9.2698	0.0	0.1574
impro	8.3535	0.0	0.2152
enhancement	9.2698	0.0	0.1359
genet	8.8643	0.0	0.156
preparing	9.2698	0.0	0.1629
bite	9.2698	0.0	0.1529
functio	8.1711	0.0	0.1492
huge	8.8643	0.0	0.1092
norine	8.8643	0.0	0.1092
gaia	9.2698	0.0	0.1596
ssbd	9.2698	0.0	0.1127
codnas	8.8643	0.0	0.1092
wiggletools	9.2698	0.0	0.1631
phishing	9.2698	0.0	0.1596
phi	8.8643	0.0	0.1261
looki	9.2698	0.0	0.11
bioproject	8.8643	0.0	0.1622
2021	8.3535	0.0	0.111
crisprcompar	9.2698	0.0	0.1596
201	8.8643	0.0	0.2233
unification	8.8643	0.0	0.1542
incidences	9.2698	0.0	0.1596
panorama	8.8643	0.0	0.1544
resour	6.9184	0.0	0.135
manuall	9.2698	0.0	0.1596
cosmic	8.3535	0.0	0.2933
comprehensi	7.8835	0.0	0.1462
encyclop	9.2698	0.0	0.1372
exci	8.5766	0.0	0.1685
mendelian	9.2698	0.0	0.1351
genefarm	9.2698	0.0	0.1387
chemidplus	9.2698	0.0	0.1267
rrids	9.2698	0.0	0.1376
yeastgenome	9.2698	0.0	0.1661
rare	8.3535	0.0	0.2419
v3	8.3535	0.0	0.1514
stap	9.2698	0.0	0.1596
classi	8.5766	0.0	0.13
emoti	9.2698	0.0	0.1804
ontological	8.8643	0.0	0.206
echobase	9.2698	0.0	0.1657
2017	8.8643	0.0	0.1998
genatlas	9.2698	0.0	0.1127
orphanet	9.2698	0.0	0.1596
fypo	8.8643	0.0	0.229
flora	9.2698	0.0	0.1393
reactome	9.2698	0.0	0.1557
addgene	8.8643	0.0	0.156
conceptual	8.8643	0.0	0.1592
4dxpress	9.2698	0.0	0.1127
glycomedb	8.8643	0.0	0.1622
unipathway	9.2698	0.0	0.1809
rebase	8.8643	0.0	0.1092
integrat	8.5766	0.0	0.1569
combining	8.5766	0.0	0.1569
biomarts	9.2698	0.0	0.0984
mode	7.8835	0.0	0.1367
assignment	9.2698	0.0	0.1596
informat	9.2698	0.0	0.2828
oral	7.7657	0.0	0.1583
nucleome	8.8643	0.0	0.1317
updat	8.3535	0.0	0.1889
intelligence	9.2698	0.0	0.1707
laryngology	9.2698	0.0	0.1677
fa	7.6603	0.0	0.0702
center	8.5766	0.0	0.1757
blast	9.2698	0.0	0.1506
genera	9.2698	0.0	0.1631
frame	8.5766	0.0	0.1363
giardiadb	8.8643	0.0	0.1596
captu	9.2698	0.0	0.1373
fpbase	9.2698	0.0	0.1494
refere	8.5766	0.0	0.209
glytoucan	8.8643	0.0	0.1665
interacti	8.3535	0.0	0.1511
introductio	9.2698	0.0	0.1298
type	7.8835	0.0	0.1462
bactibase	8.8643	0.0	0.2315
facilitating	8.8643	0.0	0.2055
enabling	8.8643	0.0	0.156
trichd	8.8643	0.0	0.1596
network	7.478	0.0	0.1009
community	7.2549	0.0	0.1553
gotenzymes	9.2698	0.0	0.1631
enhancements	9.2698	0.0	0.1541
stem	8.8643	0.0	0.1141
cpt	9.2698	0.0	0.149
nucleardb	9.2698	0.0	0.1478
biocatalogue	9.2698	0.0	0.1596
glycosciences	9.2698	0.0	0.1693
biological	8.5766	0.0	0.1569
textual	9.2698	0.0	0.1596
pathcards	9.2698	0.0	0.1212
expre	8.8643	0.0	0.2465
evolutionary	8.8643	0.0	0.156
organizing	9.2698	0.0	0.1591
covera	9.2698	0.0	0.1753
fracture	8.3535	0.0	0.1596
peroxibase	8.8643	0.0	0.156
extending	8.5766	0.0	0.1569
scal	8.8643	0.0	0.1142
mycobrowser	9.2698	0.0	0.1596
expe	9.2698	0.0	0.1127
cryptospor	9.2698	0.0	0.1544
structur	8.8643	0.0	0.0961
python	8.8643	0.0	0.156
orthology	9.2698	0.0	0.1417
nucleot	9.2698	0.0	0.1548
mpidb	9.2698	0.0	0.1749
piracema	9.2698	0.0	0.1596
flexible	8.3535	0.0	0.1511
captur	9.2698	0.0	0.1383
frames	9.2698	0.0	0.1596
intrinsic	9.2698	0.0	0.1595
encoded	9.2698	0.0	0.1596
dbest	9.2698	0.0	0.1127
genitour	9.2698	0.0	0.1631
ensure	9.2698	0.0	0.1596
prosite	9.2698	0.0	0.1127
like	8.5766	0.0	0.1569
anthroponumbers	9.2698	0.0	0.1442
dideo	8.8643	0.0	0.1622
nascarrays	9.2698	0.0	0.1631
bgfd	9.2698	0.0	0.1459
mpa	9.2698	0.0	0.1596
radlex	8.8643	0.0	0.1303
antimicrob	9.2698	0.0	0.1596
rea	8.8643	0.0	0.156
paralle	8.8643	0.0	0.156
environm	8.5766	0.0	0.1526
cellml	8.8643	0.0	0.123
neurological	9.2698	0.0	0.1868
nu	8.8643	0.0	0.1378
corum	9.2698	0.0	0.199
enviro	8.8643	0.0	0.156
compreh	8.1711	0.0	0.1492
compre	8.3535	0.0	0.1444
refer	8.8643	0.0	0.156
rk	9.2698	0.0	0.0978
carbohydrate	8.3535	0.0	0.1575
evaluating	6.9672	0.0	0.1356
clans	9.2698	0.0	0.0876
developments	9.2698	0.0	0.1617
attest	9.2698	0.0	0.1526
single	7.478	0.0	0.1118
tritrypdb	9.2698	0.0	0.1693
2014	8.1711	0.0	0.2725
super	9.2698	0.0	0.1267
peptideatlas	8.5766	0.0	0.1831
biostudies	8.8643	0.0	0.1591
mammal	9.2698	0.0	0.1502
brow	8.8643	0.0	0.0982
ordb	9.2698	0.0	0.1303
credit	8.8643	0.0	0.1522
hobacgen	9.2698	0.0	0.1127
obib	9.2698	0.0	0.1559
registry	8.8643	0.0	0.1516
gross	9.2698	0.0	0.14
pina	8.8643	0.0	0.1836
diseases	8.5766	0.0	0.118
cryptosp	9.2698	0.0	0.1596
2002	8.8643	0.0	0.0852
swisslipids	9.2698	0.0	0.1552
additions	9.2698	0.0	0.1495
owl	9.2698	0.0	0.1272
act	8.5766	0.0	0.1617
stan	8.3535	0.0	0.1511
metabolism	9.2698	0.0	0.1596
homolo	9.2698	0.0	0.1596
envipath	9.2698	0.0	0.1631
simple	8.1711	0.0	0.1213
accessing	8.8643	0.0	0.2733
ncfo	9.2698	0.0	0.174
fungal	8.1711	0.0	0.1327
hub	8.8643	0.0	0.1489
software	8.8643	0.0	0.1278
foundational	8.8643	0.0	0.1834
cambridge	8.8643	0.0	0.1529
owl2	9.2698	0.0	0.1596
cellosau	9.2698	0.0	0.1596
webs	9.2698	0.0	0.1596
namin	9.2698	0.0	0.1303
versions	9.2698	0.0	0.2052
dig	9.2698	0.0	0.1631
prodom	8.8643	0.0	0.1345
harmonized	8.8643	0.0	0.156
systems	8.5766	0.0	0.1521
nomen	7.8835	0.0	0.1301
demystified	9.2698	0.0	0.1547
fabio	8.8643	0.0	0.1596
subject	8.8643	0.0	0.1487
arabido	9.2698	0.0	0.1596
bioactivi	9.2698	0.0	0.1453
inh	9.2698	0.0	0.1351
objects	9.2698	0.0	0.1596
goa	8.8643	0.0	0.0766
groovdb	9.2698	0.0	0.1127
unimod	9.2698	0.0	0.0994
chemspider	9.2698	0.0	0.1596
proteome	8.8643	0.0	0.1429
expres	8.5766	0.0	0.1233
sgd	9.2698	0.0	0.1278
ac	8.3535	0.0	0.2311
step	8.8643	0.0	0.1316
tcdb	9.2698	0.0	0.1596
gbif	9.2698	0.0	0.1459
congenital	8.8643	0.0	0.1596
missin	9.2698	0.0	0.1582
construct	8.8643	0.0	0.1492
gabipd	9.2698	0.0	0.1303
artif	9.2698	0.0	0.149
scholarly	9.2698	0.0	0.1554
rxterms	9.2698	0.0	0.1328
giving	9.2698	0.0	0.1342
gemina	8.8643	0.0	0.2394
semantics	8.8643	0.0	0.1659
pri	9.2698	0.0	0.1303
broadening	9.2698	0.0	0.1596
semi	8.8643	0.0	0.1384
relational	9.2698	0.0	0.1596
integratio	8.8643	0.0	0.1411
produ	8.8643	0.0	0.2153
algorithm	8.8643	0.0	0.1522
appli	8.8643	0.0	0.1283
expanded	8.3535	0.0	0.1341
harve	9.2698	0.0	0.1596
collections	9.2698	0.0	0.1631
units	8.8643	0.0	0.1502
sofg	9.2698	0.0	0.1152
fun	8.8643	0.0	0.1337
pathways	8.3535	0.0	0.1217
receptor	8.5766	0.0	0.1596
nematode	9.2698	0.0	0.1596
ribocentre	8.8643	0.0	0.1301
dinto	9.2698	0.0	0.1272
reposi	8.8643	0.0	0.156
strain	8.8643	0.0	0.156
rep	8.8643	0.0	0.123
reaction	8.5766	0.0	0.1336
jgi	9.2698	0.0	0.1303
idog	9.2698	0.0	0.1459
compou	8.8643	0.0	0.1492
lmsd	9.2698	0.0	0.1306
ecg	9.2698	0.0	0.1514
specdb	9.2698	0.0	0.1596
harness	9.2698	0.0	0.1596
pmap	9.2698	0.0	0.156
uberon	9.2698	0.0	0.1583
foun	9.2698	0.0	0.1631
atla	9.2698	0.0	0.0703
mobilization	9.2698	0.0	0.1615
ann	8.8643	0.0	0.233
cycle	8.8643	0.0	0.1132
eawag	9.2698	0.0	0.1373
depot	9.2698	0.0	0.1113
archive	9.2698	0.0	0.1037
conus	9.2698	0.0	0.1346
variati	8.8643	0.0	0.1354
lipidbank	9.2698	0.0	0.1228
sprsound	9.2698	0.0	0.1205
interac	8.5766	0.0	0.1518
sabio	9.2698	0.0	0.0978
unified	8.3535	0.0	0.1471
genes	8.1711	0.0	0.1205
nex	9.2698	0.0	0.1298
greengenes	9.2698	0.0	0.1596
cas	8.8643	0.0	0.1334
v2	8.017	0.0	0.1476
dashr	9.2698	0.0	0.1127
sourced	9.2698	0.0	0.1373
enhancing	8.1711	0.0	0.1205
foodon	9.2698	0.0	0.1631
properties	8.8643	0.0	0.1589
ont	8.1711	0.0	0.1121
age	7.1903	0.0	0.0799
dire	9.2698	0.0	0.1453
query	9.2698	0.0	0.1359
national	6.9184	0.0	0.1417
chicken	9.2698	0.0	0.163
identificatio	9.2698	0.0	0.147
stop	8.5766	0.0	0.1338
chann	9.2698	0.0	0.1435
acc	8.8643	0.0	0.0957
trait	8.1711	0.0	0.1413
apollo	8.8643	0.0	0.1283
refinement	9.2698	0.0	0.1596
vi	9.2698	0.0	0.1596
whiplash	9.2698	0.0	0.1127
empiar	9.2698	0.0	0.1244
head	8.8643	0.0	0.1487
seque	8.8643	0.0	0.1387
irefweb	9.2698	0.0	0.1561
ident	8.8643	0.0	0.1369
doe	9.2698	0.0	0.1303
101	9.2698	0.0	0.1297
ir	8.8643	0.0	0.1303
famplex	9.2698	0.0	0.2178
modificatio	9.2698	0.0	0.1569
browsing	9.2698	0.0	0.1167
unif	9.2698	0.0	0.1121
awa	9.2698	0.0	0.1448
extraction	8.8643	0.0	0.1158
apd2	9.2698	0.0	0.1659
isfinder	9.2698	0.0	0.1608
dic	9.2698	0.0	0.1219
best	8.5766	0.0	0.1245
tail	9.2698	0.0	0.1303
mobidb	8.3535	0.0	0.149
prot	8.8643	0.0	0.1524
quant	9.2698	0.0	0.1375
chemdb	8.8643	0.0	0.2524
odoract	9.2698	0.0	0.1303
regulat	8.8643	0.0	0.2516
2009	9.2698	0.0	0.0984
author	7.7657	0.0	0.115
integra	8.5766	0.0	0.1533
nose	9.2698	0.0	0.1303
massbank	9.2698	0.0	0.1553
cido	8.8643	0.0	0.2075
biomodels	9.2698	0.0	0.1127
cel	8.3535	0.0	0.1652
bps	9.2698	0.0	0.131
im	7.478	0.0	0.0924
massive	8.8643	0.0	0.1315
omit	8.8643	0.0	0.1384
promot	8.8643	0.0	0.1148
cur	8.3535	0.0	0.1031
citedb	9.2698	0.0	0.1605
classification	8.1711	0.0	0.1535
multifunctional	9.2698	0.0	0.1608
gateway	9.2698	0.0	0.1318
victors	9.2698	0.0	0.1375
arch	8.8643	0.0	0.1208
roots	9.2698	0.0	0.1303
glycan	9.2698	0.0	0.1303
dynamic	7.1903	0.0	0.1123
hierarc	9.2698	0.0	0.1511
candida	8.5766	0.0	0.2071
nursing	8.5766	0.0	0.1363
eosc	8.8643	0.0	0.1337
shop	8.5766	0.0	0.1338
molec	9.2698	0.0	0.1217
ph	8.3535	0.0	0.0972
devtox	9.2698	0.0	0.139
towar	9.2698	0.0	0.1529
genedb	9.2698	0.0	0.2178
pirsf	9.2698	0.0	0.1405
gabi	9.2698	0.0	0.1303
complex	8.3535	0.0	0.1485
modi	9.2698	0.0	0.0994
rich	8.3535	0.0	0.1213
anato	9.2698	0.0	0.148
touring	9.2698	0.0	0.0984
vipr	9.2698	0.0	0.1223
v10	8.8643	0.0	0.1987
server	8.8643	0.0	0.2051
2dpage	9.2698	0.0	0.2264
accomm	9.2698	0.0	0.0891
xan	9.2698	0.0	0.1596
formalizing	9.2698	0.0	0.1556
fl	8.8643	0.0	0.1429
bac	8.5766	0.0	0.1124
teleost	8.8643	0.0	0.1567
perspectiv	8.8643	0.0	0.1731
revision	9.2698	0.0	0.1448
v7	9.2698	0.0	0.1177
antibioti	8.5766	0.0	0.1121
repositories	9.2698	0.0	0.1596
15	9.2698	0.0	0.1209
maizedig	9.2698	0.0	0.107
primer	9.2698	0.0	0.1421
gliomarker	9.2698	0.0	0.1793
v9	8.8643	0.0	0.203
